time,#stopislam,#notinmyname,kafir
2014-06-02,4.0,13,1822
2014-06-03,4.0,5,1854
2014-06-04,0.0,8,1665
2014-06-05,2.0,10,2143
2014-06-06,0.0,21,2282
2014-06-07,0.0,12,2545
2014-06-08,1.0,13,2556
2014-06-09,0.0,22,2338
2014-06-10,0.0,20,3117
2014-06-11,4.0,8,3682
2014-06-12,1.0,34,3390
2014-06-13,4.0,15,3296
2014-06-14,1.0,11,3453
2014-06-15,0.0,33,3422
2014-06-16,7.0,24,3564
2014-06-17,2.0,16,3387
2014-06-18,2.0,26,3555
2014-06-19,25.0,26,3443
2014-06-20,17.0,24,3799
2014-06-21,1.0,25,3607
2014-06-22,3.0,18,3503
2014-06-23,16.0,15,3464
2014-06-24,3.0,12,3639
2014-06-25,9.0,17,3752
2014-06-26,5.0,17,3555
2014-06-27,4.0,13,3545
2014-06-28,8.0,25,3500
2014-06-29,5.0,28,3731
2014-06-30,9.0,25,3636
2014-07-01,14.0,34,3558
2014-07-02,8.0,50,3485
2014-07-03,8.0,70,3501
2014-07-04,0.0,37,3716
2014-07-05,2.0,34,4133
2014-07-06,7.0,38,3807
2014-07-07,6.0,62,4095
2014-07-08,3.0,53,5300
2014-07-09,3.0,45,3832
2014-07-10,4.0,34,3754
2014-07-11,4.0,33,3571
2014-07-12,2.0,39,3746
2014-07-13,4.0,28,3761
2014-07-14,2.0,23,3890
2014-07-15,3.0,30,3637
2014-07-16,0.0,40,3573
2014-07-17,0.0,79,3597
2014-07-18,3.0,117,3460
2014-07-19,7.0,48,3635
2014-07-20,10.0,121,3817
2014-07-21,3.0,66,3592
2014-07-22,2.0,67,3391
2014-07-23,7.0,190,3423
2014-07-24,5.0,255,4091
2014-07-25,12.0,121,4322
2014-07-26,7.0,146,3579
2014-07-27,13.0,70,3083
2014-07-28,8.0,94,2668
2014-07-29,4.0,117,3184
2014-07-30,14.0,168,3466
2014-07-31,9.0,277,5477
2014-08-01,16.0,108,3769
2014-08-02,3.0,110,3814
2014-08-03,10.0,91,3752
2014-08-04,10.0,78,3949
2014-08-05,14.0,109,3763
2014-08-06,3.0,52,3966
2014-08-07,10.0,81,3762
2014-08-08,17.0,76,4221
2014-08-09,25.0,43,3971
2014-08-10,42.0,57,3997
2014-08-11,26.0,31,4052
2014-08-12,20.0,55,5172
2014-08-13,42.0,40,3888
2014-08-14,26.0,38,4015
2014-08-15,21.0,45,3760
2014-08-16,17.0,16,3770
2014-08-17,21.0,23,3842
2014-08-18,12.0,47,3755
2014-08-19,40.0,47,3575
2014-08-20,55.0,64,4024
2014-08-21,55.0,55,3919
2014-08-22,34.0,41,3927
2014-08-23,24.0,43,3698
2014-08-24,33.0,34,4027
2014-08-25,26.0,56,3710
2014-08-26,28.0,54,4190
2014-08-27,25.0,17,5276
2014-08-28,30.0,16,3575
2014-08-29,34.0,28,3516
2014-08-30,32.0,20,3771
2014-08-31,41.0,47,3533
2014-09-01,27.0,23,3865
2014-09-02,30.0,49,3788
2014-09-03,28.0,62,3734
2014-09-04,17.0,74,4012
2014-09-05,34.0,38,3838
2014-09-06,34.0,20,3761
2014-09-07,15.0,24,3812
2014-09-08,16.0,15,3705
2014-09-09,13.0,26,3949
2014-09-10,13.0,43,3841
2014-09-11,39.0,49,4041
2014-09-12,18.0,16,3907
2014-09-13,63.0,38,3947
2014-09-14,35.0,77,4136
2014-09-15,20.0,52,3976
2014-09-16,17.0,62,3704
2014-09-17,24.0,343,3736
2014-09-18,10.0,1455,3520
2014-09-19,15.0,640,3428
2014-09-20,32.0,369,3541
2014-09-21,20.0,584,3527
2014-09-22,19.0,3861,3573
2014-09-23,29.0,4611,3931
2014-09-24,28.0,5977,4555
2014-09-25,25.0,6681,3535
2014-09-26,23.0,3901,11912
2014-09-27,31.0,2768,11120
2014-09-28,45.0,1804,9970
2014-09-29,24.0,5762,9884
2014-09-30,36.0,1237,10026
2014-10-01,33.0,1779,11205
2014-10-02,29.0,1566,11520
2014-10-03,23.0,1763,11407
2014-10-04,34.0,1344,10589
2014-10-05,21.0,1415,10950
2014-10-06,31.0,1137,11273
2014-10-07,19.0,910,11312
2014-10-08,22.0,788,11041
2014-10-09,27.0,1032,3724
2014-10-10,20.0,1159,3802
2014-10-11,15.0,886,3695
2014-10-12,24.0,771,3733
2014-10-13,18.0,586,3881
2014-10-14,25.0,709,4610
2014-10-15,33.0,715,4109
2014-10-16,19.0,550,4125
2014-10-17,14.0,326,4130
2014-10-18,13.0,500,4058
2014-10-19,20.0,366,3909
2014-10-20,23.0,364,3867
2014-10-21,32.0,306,4052
2014-10-22,30.0,373,3659
2014-10-23,22.0,453,4152
2014-10-24,21.0,448,4001
2014-10-25,20.0,693,4549
2014-10-26,25.0,499,3957
2014-10-27,22.0,486,4628
2014-10-28,16.0,527,4108
2014-10-29,38.0,441,3938
2014-10-30,44.0,270,4606
2014-10-31,49.0,242,4241
2014-11-01,58.0,328,5199
2014-11-02,61.0,242,4275
2014-11-03,59.0,267,4303
2014-11-04,57.0,315,4408
2014-11-05,41.0,285,4238
2014-11-06,26.0,256,4113
2014-11-07,58.0,153,4158
2014-11-08,56.0,230,3811
2014-11-09,52.0,213,3497
2014-11-10,72.0,209,3719
2014-11-11,84.0,192,3401
2014-11-12,84.0,227,3322
2014-11-13,88.0,310,3766
2014-11-14,68.0,275,3970
2014-11-15,78.0,264,3869
2014-11-16,81.0,272,3641
2014-11-17,80.0,293,3536
2014-11-18,109.0,327,3570
2014-11-19,66.0,327,3585
2014-11-20,64.0,255,3407
2014-11-21,67.0,312,3462
2014-11-22,72.0,268,3780
2014-11-23,68.0,345,4126
